Category,Day,Month,Label,SequenceNumber,Set,Path1,Path2,Path3,Path4,Path5,Path6,Path7,Path8,Path9,Path10,Path11,Path12,Path13,Path14,Path15,Path16,Path17,Path18,Path19,Path20,Path21,Path22
no_voice,20,9,no,105,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0105.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0105.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,663,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0663.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0663.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,139,Testing,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0139.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0139.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,313,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0313.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0313.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,475,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0475.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0475.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,461,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0461.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0461.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,307,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0307.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0307.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,449,Testing,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0449.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0449.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,448,Validation,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0448.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0448.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,460,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0460.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0460.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,306,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0306.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0306.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,312,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0312.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0312.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,474,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0474.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0474.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,138,Validation,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0138.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0138.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,104,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0104.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0104.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,662,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0662.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0662.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,676,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0676.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0676.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,110,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0110.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0110.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,58,Validation,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0058.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0058.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,70,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0070.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0070.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,64,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0064.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0064.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,528,Validation,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0528.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0528.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,514,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0514.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0514.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,272,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0272.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0272.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,266,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0266.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0266.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,500,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0500.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0500.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,299,Testing,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0299.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0299.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,270,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0270.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0270.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,516,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0516.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0516.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,502,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0502.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0502.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,264,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0264.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0264.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,258,Validation,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0258.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0258.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,99,Testing,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0099.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0099.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,72,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0072.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0072.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,66,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0066.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0066.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,660,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0660.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0660.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,106,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0106.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0106.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,112,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0112.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0112.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,674,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0674.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0674.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,648,Validation,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0648.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0648.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,489,Testing,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0489.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0489.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,304,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0304.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0304.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,462,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0462.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0462.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,476,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0476.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0476.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,310,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0310.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0310.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,338,Validation,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0338.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0338.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,339,Testing,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0339.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0339.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,477,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0477.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0477.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,311,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0311.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0311.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,305,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0305.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0305.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,463,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0463.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0463.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,488,Validation,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0488.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0488.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,649,Testing,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0649.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0649.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,113,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0113.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0113.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,675,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0675.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0675.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,661,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0661.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0661.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,107,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0107.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0107.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,67,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0067.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0067.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,73,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0073.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0073.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,98,Validation,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0098.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0098.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,259,Testing,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0259.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0259.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,503,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0503.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0503.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,265,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0265.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0265.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,271,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0271.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0271.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,517,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0517.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0517.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,249,Testing,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0249.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0249.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,513,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0513.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0513.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,275,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0275.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0275.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,261,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0261.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0261.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,507,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0507.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0507.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,88,Validation,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0088.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0088.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,77,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0077.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0077.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,63,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0063.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0063.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,659,Testing,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0659.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0659.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,103,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0103.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0103.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,665,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0665.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0665.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,671,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0671.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0671.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,117,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0117.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0117.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,498,Validation,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0498.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0498.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,329,Testing,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0329.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0329.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,467,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0467.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0467.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,301,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0301.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0301.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,315,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0315.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0315.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,473,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0473.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0473.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,314,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0314.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0314.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,472,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0472.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0472.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,466,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0466.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0466.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,300,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0300.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0300.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,328,Validation,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0328.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0328.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,499,Testing,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0499.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0499.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,670,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0670.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0670.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,116,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0116.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0116.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,102,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0102.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0102.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,664,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0664.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0664.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,658,Validation,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0658.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0658.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,62,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0062.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0062.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,76,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0076.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0076.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,89,Testing,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0089.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0089.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,260,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0260.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0260.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,506,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0506.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0506.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,512,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0512.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0512.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,274,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0274.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0274.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,248,Validation,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0248.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0248.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,289,Testing,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0289.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0289.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,538,Validation,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0538.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0538.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,504,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0504.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0504.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,262,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0262.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0262.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,276,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0276.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0276.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,510,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0510.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0510.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,48,Validation,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0048.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0048.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,60,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0060.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0060.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,74,Training,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0074.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0074.png,,,,,,,,,,,,,,,,,,,
no_voice,20,9,no,128,Validation,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch1/0128.png,,/Users/kyy/demo/images_scaled/no_voice/09_20/no/ch3/0128.png,,,,,,,,,,,,,,,,,,,
